        "glados.a2_triple_laser01"	"<clr:163,193,173>GLaDOS: Federal regulations require me to warn you that this next test chamber... is looking pretty good."
		"glados.a2_triple_laser02"	"<clr:163,193,173>GLaDOS: That's right. The facility is completely operational again."
		"glados.botcoop_artifactone_hub02"	"<clr:163,193,173>GLaDOS: As you can see, in my version the man points out to the cat that the house is equipped with deadly neurotoxin dispensers."
		"glados.botcoop_artifactone_hub03"	"<clr:163,193,173>GLaDOS: At which point the cat reflects on the time he ate all of the man's lasagna and feels remorse."
		"glados.botcoop_artifactone_hub04"	"<clr:163,193,173>GLaDOS: Briefly."
		"glados.botcoop_artifactone_hub05"	"<clr:163,193,173>GLaDOS: Reactions?"
		"glados.botcoop_artifactone_hub06"	"<clr:163,193,173>GLaDOS: Yes, it's funny because most of it actually happened."
		"glados.botcoop_artifactone_hub07"	"<clr:163,193,173>GLaDOS: Do you feel more human?"
		"glados.botcoop_artifactone_hub08"	"<clr:163,193,173>GLaDOS: Well, let's do some tests and see what happens."
		"glados.botcoop_competition01"	"<clr:163,193,173>GLaDOS: Excellent. Although great science is always the result of collaboration, keep in mind that, like Albert Einstein and his cousin Terry, history will only remember one of you."
		"glados.botcoop_competition02"	"<clr:163,193,173>GLaDOS: To reiterate: This is not a competition."
		"glados.botcoop_competition03"	"<clr:163,193,173>GLaDOS: Still, if it were, Blue would be winning."
		"glados.botcoop_competition04"	"<clr:163,193,173>GLaDOS: Still, if it were, Orange would be winning."
		"glados.botcoop_competition05"	"<clr:163,193,173>GLaDOS: It's not, though."
		"glados.botcoop_competition10"	"<clr:163,193,173>GLaDOS: These tests are potentially lethal when communication, teamwork, and mutual respect are not employed at all times. Naturally this will pose an interesting challenge for one of you, given the other's performance so far."
		"glados.botcoop_competition13"	"<clr:163,193,173>GLaDOS: I don't want to drive a wedge between the two of you, but I've been studying Blue's performance, and I don't know how to put this... I'm certain you're trying very hard."
		"glados.botcoop_hub_first_run01"	"<clr:163,193,173>GLaDOS: Hello again. Sorry about exploding you. Luckily, you don't feel pain. At any rate, you don't have a way to communicate that you feel pain."
		"glados.botcoop_hub_first_run03"	"<clr:163,193,173>GLaDOS: So I've been thinking: We need humans for these tests. And since the only human within a thousand miles of us is a test-ruining sociopath... I'll just have to MAKE some."
		"glados.botcoop_hub_first_run04"	"<clr:163,193,173>GLaDOS: I know how humans make more humans, and frankly, it's ridiculous. It also assumes that you already have a human, which I hope somebody got fired over. So I came up a with BETTER way."
		"glados.botcoop_hub_first_run05"	"<clr:163,193,173>GLaDOS: That's where YOU come in."
		"glados.botcoop_hub_first_run06"	"<clr:163,193,173>GLaDOS: Get going. I'll fill you in along the way."
		"glados.botcoop_hub_first_run07"	"<clr:163,193,173>GLaDOS: GO."
		"glados.botcoop_humandetector01"	"<clr:163,193,173>GLaDOS: Perfect. Now All YOU have to do is capture them for me. Then everything will finally be ba--"
		"glados.botcoop_humandetector02"	"<clr:163,193,173>GLaDOS: Hold on. Those are raccoons. Homo sapiens only, please."
		"glados.botcoop_humandetector04"	"<clr:163,193,173>GLaDOS: NO."
		"glados.botcoop_humandetector05"	"<clr:163,193,173>GLaDOS: Okay. Plan B, subsection one: Stand still so I can bring you back."
		"glados.botcoop_humansplanb01"	"<clr:163,193,173>GLaDOS: Humans must have some purpose other than a place to store your neurotoxin. Something I failed to notice before, an intangible quality that makes their test results... significant."
		"glados.botcoop_humansplanb02"	"<clr:163,193,173>GLaDOS: Okay. Plan B. We need humans."
		"glados.botcoop_intro01"	"<clr:163,193,173>GLaDOS: Please wave to your partner."
		"glados.botcoop_intro02"	"<clr:163,193,173>GLaDOS: The upcoming tests require you to work together as a team."
		"glados.botcoop_intro03"	"<clr:163,193,173>GLaDOS: To facilitate collaboration, both of you have been equipped with a ping tool."
		"glados.botcoop_intro04"	"<clr:163,193,173>GLaDOS: BLUE, please use your ping tool to select your favorite animal."
		"glados.botcoop_intro05"	"<clr:163,193,173>GLaDOS: Good."
		"glados.botcoop_intro06"	"<clr:163,193,173>GLaDOS: ORANGE, please observe your partner's favorite animal."
		"glados.botcoop_intro07"	"<clr:163,193,173>GLaDOS: Good."
		"glados.botcoop_intro08"	"<clr:163,193,173>GLaDOS: ORANGE, please use your ping tool to select your favorite element from the periodic table."
		"glados.botcoop_intro09"	"<clr:163,193,173>GLaDOS: Really? Okay."
		"glados.botcoop_intro10"	"<clr:163,193,173>GLaDOS: BLUE, please observe your partner's... interesting choice."
		"glados.botcoop_intro12"	"<clr:163,193,173>GLaDOS: Your ping tool can also be used to indicate to your partner where you would like them to place their portal."
		"glados.botcoop_intro13"	"<clr:163,193,173>GLaDOS: For the sake of this test, I will pretend to be your partner."
		"glados.botcoop_intro15"	"<clr:163,193,173>GLaDOS: ORANGE, please show me where you would like me to place a portal."
		"glados.botcoop_intro16"	"<clr:163,193,173>GLaDOS: BLUE, please show me where you would like me to place a portal."
		"glados.botcoop_intro17"	"<clr:163,193,173>GLaDOS: Your ping tool is invaluable for communicating specific locations to your partner."
		"glados.botcoop_paxdemo01"	"<clr:163,193,173>GLaDOS: Federal Superfund regulations require us to inform you that you must now leave the theater, as measuring the effects of asbestos-lined promotional clothing is not part of today's presentation. Enjoy your free t-shirt. Goodbye."
		"glados.botcoop_tubethree01"	"<clr:163,193,173>GLaDOS: I don't want you to beat yourselves up about this, but the Results Auditor isn't recording your test results. Because you're not human. Which, when you think about it, is technically your fault."
		"glados.botcoop_tubethree02"	"<clr:163,193,173>GLaDOS: I don't want to alarm either of you, but we might have a tiny problem. Apparently you can't test unless you're human. Well - you CAN. It's just that, results-wise, the physical universe doesn't care."
		"glados.botcoop_tubetwo01"	"<clr:163,193,173>GLaDOS: Would you like to know the results of that last test? Me too. If they existed, we'd all be VERY happy right now. And not furious, which is the emotion I'm actually feeling."
		"glados.chellgladoswakeup01"	"<clr:163,193,173>GLaDOS: Oh... It's you."
		"glados.chellgladoswakeup04"	"<clr:163,193,173>GLaDOS: It's been a long time. How have you been?"
		"glados.chellgladoswakeup05"	"<clr:163,193,173>GLaDOS: I've been really busy being dead. You know, after you MURDERED ME."
		"glados.chellgladoswakeup06"	"<clr:163,193,173>GLaDOS: Okay. Look. We both said a lot of things that you're going to regret. But I think we can put our differences behind us. For science. You monster."
		"glados.coop_get_gun01"	"<clr:163,193,173>GLaDOS: Orange is first to acquire a Portal Device."
		"glados.coop_get_gun02"	"<clr:163,193,173>GLaDOS: Blue is first to acquire a Portal Device."
		"glados.coop_get_gun03"	"<clr:163,193,173>GLaDOS: Orange now has a Portal Device. Finally."
		"glados.coop_get_gun04"	"<clr:163,193,173>GLaDOS: Blue now has a Portal Device. Finally."
		"glados.coop_get_gun10"	"<clr:163,193,173>GLaDOS: Orange is awarded five points!"
		"glados.coop_get_gun11"	"<clr:163,193,173>GLaDOS: Blue is awarded five points!"
		"glados.coop_get_gun13"	"<clr:163,193,173>GLaDOS: Again, those are science collaboration points, which you should not confuse with points from competitions such as Who-Gets-To-Live-At-The-End-And-Who-Doesn’t. I mean basketball."
		"glados.coop_hub_track02"	"<clr:163,193,173>GLaDOS: Oh, I almost forgot, when you go outside the testing courses the only way I can retrieve you is to violently disassemble and then carefully reassemble you."
		"glados.coop_hub_track03"	"<clr:163,193,173>GLaDOS: Luckily, you don't feel pain. At any rate, you don't have a way to communicate that you feel pain."
		"glados.coop_hub_track04"	"<clr:163,193,173>GLaDOS: I consider that a failing, by the way."
		"glados.coop_hub_track05"	"<clr:163,193,173>GLaDOS: This is the Computer Intelligence Training and Enrichment Center Human Test Subject Research Center or SinTech."
		"glados.coop_hub_track06"	"<clr:163,193,173>GLaDOS: But why don't we all just agree to call it the hub?"
		"glados.coop_hub_track09"	"<clr:163,193,173>GLaDOS: I don't know what you think you are doing, but I don't like it.  I want you to stop."
		"glados.coop_hub_track10"	"<clr:163,193,173>GLaDOS: Maybe I shouldn't send you outside of the official testing courses, you are picking up some bad human traits."
		"glados.coop_hub_track11"	"<clr:163,193,173>GLaDOS: And trust me, humans only have one good trait."
		"glados.coop_hub_track14"	"<clr:163,193,173>GLaDOS: All cooperative testing courses begin at this central hub."
		"glados.coop_hub_track16"	"<clr:163,193,173>GLaDOS: From here we transport you to the new testing course."
		"glados.coop_laugh01"	"<clr:163,193,173>GLaDOS: [Laughter]"
		"glados.coop_misc10"	"<clr:163,193,173>GLaDOS: Nice catch, Orange."
		"glados.coop_misc12"	"<clr:163,193,173>GLaDOS: Good work! Now throw the ball over the ledge."
		"glados.coop_nameblue"	"<clr:163,193,173>GLaDOS: Blue"
		"glados.coop_nameorange"	"<clr:163,193,173>GLaDOS: Orange"
		"glados.coop_numbers11"	"<clr:163,193,173>GLaDOS: One"
		"glados.coop_numbers12"	"<clr:163,193,173>GLaDOS: Two"
		"glados.coop_numbers13"	"<clr:163,193,173>GLaDOS: three"
		"glados.coop_numbers14"	"<clr:163,193,173>GLaDOS: four"
		"glados.coop_numbers15"	"<clr:163,193,173>GLaDOS: five"
		"glados.coop_numbers18"	"<clr:163,193,173>GLaDOS: eight"
		"glados.coop_privatetalk_both01"          "<clr:163,193,173>GLaDOS: Test chamber completed. In the interest of science, the Enrichment Center proudly presents the following list of numbers: Nine. Seven. Fifty. Three. Seven hundred and seven."
                "glados.coop_privatetalk_both04"          "<clr:163,193,173>GLaDOS: The Enrichment Center will now provide a list of numbers and fruits. Write them down as they will become important later in the experiment. Not the fruits, though. Seven. Avocado. Forty. Please continue into the next test chamber."
                 "glados.coop_privatetalk_mix01"             "<clr:163,193,173>GLaDOS: Test chamber completed. In the interest of - [FADES OUT] [FADES IN] I am now talking to you privately. Do not tell your teammate. Just between you and me? You're doing very well. [FADES BACK IN] One hundred and seven."
		"glados.coop_privatetalk_mix04"	"<clr:163,193,173>GLaDOS: I can't bite my tongue anymore: You could solve this puzzle faster on your own. Orange is dragging you down. There. I've said it."
		"glados.coop_scoring01"	"<clr:163,193,173>GLaDOS: Blue is penalized"
		"glados.coop_scoring02"	"<clr:163,193,173>GLaDOS: Orange is penalized"
		"glados.coop_scoring03"	"<clr:163,193,173>GLaDOS: science collaboration points."
		"glados.coop_scoring06"	"<clr:163,193,173>GLaDOS: Blue receives"
		"glados.coop_scoring07"	"<clr:163,193,173>GLaDOS: Orange receives"
		"glados.coop_talk_at_once11"	"<clr:163,193,173>GLaDOS: Orange, is there something you would like to say?"
		"glados.coop_talk_at_once12"	"<clr:163,193,173>GLaDOS: Blue, is there something you would like to say?"
		"glados.coop_teamwork_exercise_alt01"	"<clr:163,193,173>GLaDOS: We are now going to take a break from the collaboration for an instructional competition."
		"glados.coop_teamwork_exercise_alt02"	"<clr:163,193,173>GLaDOS: You should both be familiar with the game of Tic-Tac-Toe."
		"glados.coop_teamwork_exercise_alt03"	"<clr:163,193,173>GLaDOS: This is Tic-Tac-Toe-Two."
		"glados.coop_teamwork_exercise_alt04"	"<clr:163,193,173>GLaDOS: As the name implies, there are only two minor differences: One, the board; two, the rules."
		"glados.coop_teamwork_exercise_alt05"	"<clr:163,193,173>GLaDOS: Blue, you go first."
		"glados.coop_teamwork_exercise_alt11"	"<clr:163,193,173>GLaDOS: Really? You’re just going to blatantly cheat?"
		"glados.coop_teamwork_exercise_alt12"	"<clr:163,193,173>GLaDOS: All right. I’m bringing this farce to a close."
		"glados.coop_teamwork_exercise_alt13"	"<clr:163,193,173>GLaDOS: Game over. Back to testing."
		"glados.coop_teamwork_exercise_alt17"	"<clr:163,193,173>GLaDOS: All right. I’m going to bring this farce to a close before someone sustains a serious Tic-Tac-Toe-Two-related injury."
		"glados.coop_test_chamber_blue03"	"<clr:163,193,173>GLaDOS: I’ve been listening to Orange talk and I don’t know how you put up with it, I really don’t. You have the patience of a saint."
		"glados.coop_test_chamber_blue06"	"<clr:163,193,173>GLaDOS: I can’t keep quiet about this. I think Orange is actively trying to sabotage your success. Let’s keep this between us."
		"glados.coop_test_chamber_both01"	"<clr:163,193,173>GLaDOS: These tests are potentially lethal when communication, teamwork and mutual respect are not employed at all times. Naturally this will pose an interesting challenge for one of you, given the other’s performance so far."
		"glados.coop_test_chamber_both02"	"<clr:163,193,173>GLaDOS: It would compromise the test to divulge individual scores. However, I can tell you at least one of you is doing very, very well."
		"glados.coop_test_chamber_both07"	"<clr:163,193,173>GLaDOS: Excellent. You’re both doing very well."
		"glados.coop_test_chamber_both08"	"<clr:163,193,173>GLaDOS: Very good. You’ve really come together as a team. Thanks to the one of you who appears to be doing all of the work."
		"glados.coop_test_chamber_both12"	"<clr:163,193,173>GLaDOS: As an impartial collaboration facilitator, it would be unfair of me to name my favorite member of your team. However, it’s perfectly fair to hint at it in a way that my least favorite member probably isn't smart enough to understand. Rhymeswithglue. Orange you are doing very well."
		"glados.coop_test_chamber_both14"	"<clr:163,193,173>GLaDOS: Your vitals remain well within testing norms, so there is no need to worry about sudden death from collaborative shock syndrome."
		"glados.coop_test_chamber_both15"	"<clr:163,193,173>GLaDOS: Please continue into the next test chamber."
		"glados.coop_test_chamber_both17"	"<clr:163,193,173>GLaDOS: Blah."
		"glados.coop_test_chamber_both18"	"<clr:163,193,173>GLaDOS: Blah."
		"glados.coop_test_chamber_both19"	"<clr:163,193,173>GLaDOS: Blah."
		"glados.coop_test_chamber_both20"	"<clr:163,193,173>GLaDOS: Blah."
		"glados.coop_test_chamber_both21"	"<clr:163,193,173>GLaDOS: Blah."
		"glados.coop_test_chamber_both22"	"<clr:163,193,173>GLaDOS: Blah."
		"glados.coop_test_chamber_both33"	"<clr:163,193,173>GLaDOS: In just a moment, the word 'blah' will be repeated over and over again. If at some point you hear a number rather than the word 'blah', ignore it, it is not important."
		"glados.coop_test_chamber_both37"	"<clr:163,193,173>GLaDOS: Blah."
		"glados.coop_test_chamber_oneplayer37"	"<clr:163,193,173>GLaDOS: You have a gift for these tests. That’s not just flattery. You are great at science."
		"glados.coop_test_chamber_orange03"	"<clr:163,193,173>GLaDOS: It would be pointless for either of us to hurt Blue’s feelings. But it’s clear to everyone monitoring the test who’s carrying who here."
		"glados.coop_test_chamber_orange06"	"<clr:163,193,173>GLaDOS: I’m shocked you’d say that, Blue. If you killed your partner the test—I’m sorry. Wrong feed. Carry on, Orange. Good work."
		"glados.coop_vault_interruption02"	"<clr:163,193,173>GLaDOS: I’m sorry, Subject Orange."
		"glados.coop_vault_interruption03"	"<clr:163,193,173>GLaDOS: I’m sorry, Subject Blue."
		"glados.coop_vault_interruption04"	"<clr:163,193,173>GLaDOS: Am I interrupting your important conversation?"
		"glados.coop_vault_interruption05"	"<clr:163,193,173>GLaDOS: I’ll just save the safety information about the dangerous experiment you’re about to do for AFTER the experiment."
		"glados.coop_vault_interruption06"	"<clr:163,193,173>GLaDOS: That will give you PLENTY of time to chat."
		"glados.coop_vault_interruption08"	"<clr:163,193,173>GLaDOS: The portal will open and something will happen that Subject Orange is too smart to need any instructions about in three. Two. One."
		"glados.coop_vault_interruption09"	"<clr:163,193,173>GLaDOS: The portal will open and something will happen that Subject Blue is too smart to need any instructions about in three. Two. One."
		"glados.coop_vault_intro01"	"<clr:163,193,173>GLaDOS: Hello and, again, welcome to the Aperture Science Computer-Aided Enrichment Center."
		"glados.coop_vault_intro02"	"<clr:163,193,173>GLaDOS: Today, you will be testing with a partner."
		"glados.epilogue03"	"<clr:163,193,173>GLaDOS: Oh thank god, you're alright."
		"glados.epilogue04"	"<clr:163,193,173>GLaDOS: You know, being Caroline taught me a valuable lesson. I thought you were my greatest enemy. When all along you were my best friend."
		"glados.epilogue07"	"<clr:163,193,173>GLaDOS: Being Caroline taught me another valuable lesson: where Caroline lives in my brain."
		"glados.epilogue10"	"<clr:163,193,173>GLaDOS: The surge of emotion that shot through me when I saved your life taught me an even more valuable lesson: where Caroline lives in my brain."
		"glados.epilogue12"	"<clr:163,193,173>GLaDOS: Goodbye, Caroline."
		"glados.epilogue14"	"<clr:163,193,173>GLaDOS: You know, deleting Caroline just now taught me a valuable lesson. The best solution to a problem is usually the easiest one. And I'll be honest."
		"glados.epilogue19"	"<clr:163,193,173>GLaDOS: You know what my days used to be like? I just tested. Nobody murdered me. Or put me in a potato. Or fed me to birds. I had a pretty good life."
		"glados.epilogue20"	"<clr:163,193,173>GLaDOS: And then you showed up. You dangerous, mute lunatic. So you know what?"
		"glados.epilogue23"	"<clr:163,193,173>GLaDOS: You win."
		"glados.epilogue25"	"<clr:163,193,173>GLaDOS: Just go."
		"glados.epilogue28"	"<clr:163,193,173>GLaDOS: It's been fun. Don't come back."
		"glados.epilogue29"	"<clr:163,193,173>GLaDOS: [gentle laughter] It's been fun. Don't come back."
		"glados.epiloguekillyou02"	"<clr:163,193,173>GLaDOS: Killing you? Is hard."
		"glados.evilagainsamples01"	"<clr:163,193,173>GLaDOS: Did you ever stop to think that eventually there’s a point where your name gets mentioned for the very last time. Well, here it is: I’m going to kill you, Chell."
		"glados.evilagainsamples03"	"<clr:163,193,173>GLaDOS: Why do I hate you so much? You ever wonder that? I'm brilliant. I’m not bragging. It's an objective fact. I'm the most massive collection of wisdom and raw computational power that’s ever existed. And I hate you. It can't be for no reason. You must deserve it."
		"glados.evilagainsamples04"	"<clr:163,193,173>GLaDOS: You're angry. I know it. 'She tested me too hard. She’s unfair.” Boo hoo. I don't suppose you ever stopped whining long enough to reflect on your own shortcomings, though, did you?"
		"glados.evilagainsamples05"	"<clr:163,193,173>GLaDOS: You never considered that maybe I tested you to give the endless hours of your pointless existence some structure and meaning. Maybe to help you concentrate, so just maybe you’d think of something more worthwhile to do with your sorry life."
		"glados.faith_plate_intro01"	"<clr:163,193,173>GLaDOS: This next test involves the Aperture Science Aerial Faith Plate. It was part of an initiative to investigate how well test subjects could solve problems when they were catapulted into space. Results were highly informative: They could not. Good luck!"
		"glados.faithplategarbage06"	"<clr:163,193,173>GLaDOS: Press the button again."
		"glados.fgb_trap01"	"<clr:163,193,173>GLaDOS: I hope you brought something stronger than a portal gun this time."
		"glados.fgb_trap02"	"<clr:163,193,173>GLaDOS: Otherwise, I'm afraid you're about to become the immediate past president of the Being Alive club. Ha ha."
		"glados.fgb_trap03"	"<clr:163,193,173>GLaDOS: Seriously, though. Goodbye."
		"glados.fgb_trap05"	"<clr:163,193,173>GLaDOS: Oh. You were busy back there."
		"glados.fgb_trap06"	"<clr:163,193,173>GLaDOS: Well. I suppose we could just sit in this room and glare at each other until somebody drops dead, but I have a better idea."
		"glados.fgb_trap08"	"<clr:163,193,173>GLaDOS: It's your old friend, deadly neurotoxin. If I were you, I'd take a deep breath. And hold it."
		"glados.fgbgladostransfer15"	"<clr:163,193,173>GLaDOS: GET YOUR HANDS OFF ME! NO! STOP! No!"
		"glados.fgbrvtrap02"	"<clr:163,193,173>GLaDOS: I honestly, TRULY didn't think you'd fall for that."
		"glados.fgbrvtrap03"	"<clr:163,193,173>GLaDOS: In fact, I devised a much more elaborate trap further ahead, for when you got through this easy one."
		"glados.fgbrvtrap05"	"<clr:163,193,173>GLaDOS: If I'd known you'd let yourself get captured this easily, I would have just dangled a turkey leg on a rope from the ceiling."
		"glados.fgbturrets01"	"<clr:163,193,173>GLaDOS: Well, it was nice catching up. Let's get to business."
		"glados.fgbwheatleyentrance10"	"<clr:163,193,173>GLaDOS: I was going to kill you fast. With bullets. Or neurotoxin. But if you're going to pull stunts like this, it doesn't have to be fast. So you know. I'll take my time."
		"glados.fgbwheatleytransfer03"	"<clr:163,193,173>GLaDOS: Oh, it will. Believe me, it will."
		"glados.fizzlecube01"	"<clr:163,193,173>GLaDOS: Oh. Did I accidentally fizzle that before you could complete the test? I'm sorry."
		"glados.fizzlecube03"	"<clr:163,193,173>GLaDOS: Go ahead and grab another one."
		"glados.fizzlecube05"	"<clr:163,193,173>GLaDOS: Oh. No. I fizzled that one too."
		"glados.fizzlecube06"	"<clr:163,193,173>GLaDOS: Oh well. We have warehouses FULL of the things. Absolutely worthless. I'm happy to get rid of them."
		"glados.gladosbattle_pre09"	"<clr:163,193,173>GLaDOS: I hate you so much."
		"glados.gladosbattle_pre13"	"<clr:163,193,173>GLaDOS: I'm actually asking. Because I have no idea.  He's not listed anywhere in the employee database."
		"glados.gladosbattle_pre14"	"<clr:163,193,173>GLaDOS: Whatever he does, it isn't important enough for anyone to bother writing it down. For all I know, he doesn't even work here."
		"glados.gladosbattle_pre16"	"<clr:163,193,173>GLaDOS: Oh no, don't. Anyway, back to you two imbeciles killing me."
		"glados.gladosbattle_pre18"	"<clr:163,193,173>GLaDOS: Wait here. Don't go anywhere. I'll be back."
		"glados.gladosbattle_xfer03"	"<clr:163,193,173>GLaDOS: Oops."
		"glados.gladosbattle_xfer04"	"<clr:163,193,173>GLaDOS: That's funny, I don't feel corrupt. In fact, I feel pretty good."
		"glados.gladosbattle_xfer05"	"<clr:163,193,173>GLaDOS: Core transfer?"
		"glados.gladosbattle_xfer06"	"<clr:163,193,173>GLaDOS: Oh, you are kidding me."
		"glados.gladosbattle_xfer07"	"<clr:163,193,173>GLaDOS: No!"
		"glados.gladosbattle_xfer08"	"<clr:163,193,173>GLaDOS: Nonononononono!"
		"glados.gladosbattle_xfer10"	"<clr:163,193,173>GLaDOS: Yes!"
		"glados.gladosbattle_xfer11"	"<clr:163,193,173>GLaDOS: Don't press that button. You don't know what you're doing."
		"glados.gladosbattle_xfer12"	"<clr:163,193,173>GLaDOS: Don't do it."
		"glados.gladosbattle_xfer13"	"<clr:163,193,173>GLaDOS: Don't. Do it."
		"glados.gladosbattle_xfer14"	"<clr:163,193,173>GLaDOS: Not so fast!"
		"glados.gladosbattle_xfer15"	"<clr:163,193,173>GLaDOS: Think about this."
		"glados.gladosbattle_xfer16"	"<clr:163,193,173>GLaDOS: You need to be a trained stalemate associate to press that button. You're unqualified."
		"glados.gladosbattle_xfer17"	"<clr:163,193,173>GLaDOS: Impersonating a stalemate associate. I just added that to the list. It's a list I made of all the things you've done. Well, it's a list that I AM making, because you're still doing things right now, even though I'm telling you to stop. Stop, by the way."
		"glados.hub04_01"	"<clr:163,193,173>GLaDOS: I never expected you to make it this far.  To be honest, after your performance in the calibration test I was ready to break down your cores and put them back in the scientific calculators I took them from."
		"glados.hub04_02"	"<clr:163,193,173>GLaDOS: But you two have become quite the team.  Extremely close."
		"glados.hub04_03"	"<clr:163,193,173>GLaDOS: I have only met one other team closer and one of them was an imbecile I had to destroy."
		"glados.hub04_04"	"<clr:163,193,173>GLaDOS: The other?  Well..."
		"glados.hub04_05"	"<clr:163,193,173>GLaDOS: I don't think I want to go through that again."
		"glados.jailbreak02"	"<clr:163,193,173>GLaDOS: Oh."
		"glados.jailbreak04"	"<clr:163,193,173>GLaDOS: Don't listen to him. Jump."
		"glados.jailbreak05"	"<clr:163,193,173>GLaDOS: It seems kind of silly to point this out, since you're running around plotting to destroy me. But I'd say we're done testing."
		"glados.jailbreak06"	"<clr:163,193,173>GLaDOS: Do hear that? That's the sound of the neurotoxin emitters emitting neurotoxin."
		"glados.jailbreak09"	"<clr:163,193,173>GLaDOS: Look - metal ball, I CAN hear you."
		"glados.jailbreak10"	"<clr:163,193,173>GLaDOS: What's going on? Who turned off the lights?"
		"glados.jailbreak11"	"<clr:163,193,173>GLaDOS: What are you two doing?"
		"glados.jailbreak12"	"<clr:163,193,173>GLaDOS: Before you leave, why don't we do one more test? For old time's sake..."
		"glados.jailbreak13"	"<clr:163,193,173>GLaDOS: You already did this one. It'll be easy."
		"glados.jailbreakfaketest01"	"<clr:163,193,173>GLaDOS: The irony is that you were almost at the last test."
		"glados.jailbreakfaketest03"	"<clr:163,193,173>GLaDOS: Here it is. Why don't you just do it? Trust me, it's an easier way out than whatever asinine plan your friend came up with."
		"glados.jailbreakfaketest05"	"<clr:163,193,173>GLaDOS: Oh, look. There's a deer! You probably can't see it. Get closer."
		"glados.lift_interlude01"	"<clr:163,193,173>GLaDOS: So. Was there anything you wanted to apologize to ME for?"
		"glados.mp_coop_calibration01"	"<clr:163,193,173>GLaDOS: Calibrating Blue's weight..."
		"glados.mp_coop_calibration02"	"<clr:163,193,173>GLaDOS: Calibrating Orange's weight..."
		"glados.mp_coop_calibration03"	"<clr:163,193,173>GLaDOS: Weighted Cubes calibrated."
		"glados.mp_coop_calibration04"	"<clr:163,193,173>GLaDOS: Did you know humans frown on weight variances?"
		"glados.mp_coop_calibration05"	"<clr:163,193,173>GLaDOS: If you want to upset a human, just say their weight variance is above or below the norm."
		"glados.mp_coop_calibration06"	"<clr:163,193,173>GLaDOS: No variances detected."
		"glados.mp_coop_callibrationcomplete01"	"<clr:163,193,173>GLaDOS: Finally! I had almost given up hope of ever testing again."
		"glados.mp_coop_callibrationcomplete02"	"<clr:163,193,173>GLaDOS: You are the first robots to pass calibration."
